application_id,gender,international,gpa,Major,race,gmat,work_exp,work_industry,admission_finals,scholarship_status,funding_fee,tuition_fee
22,Female,False,3.64,Humanities,Black,710.0,6.0,"Financial Services",admitted,notsponsored,0,75000
23,Female,True,3.42,Business,NULL,640.0,6.0,Consulting,admitted,notsponsored,0,75000
24,Male,False,3.40,Business,White,680.0,6.0,PE/VC,admitted,notsponsored,0,75000
25,Female,False,3.47,STEM,White,710.0,5.0,Consulting,admitted,notsponsored,0,75000
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,admitted,notsponsored,0,75000
27,Male,True,2.99,STEM,NULL,640.0,5.0,Consulting,admitted,notsponsored,0,75000
28,Male,False,3.39,STEM,Other,730.0,4.0,Other,admitted,notsponsored,0,75000
29,Male,False,3.08,Business,Asian,570.0,7.0,Retail,notadmitted,notsponsored,0,0
30,Male,True,3.65,STEM,NULL,700.0,5.0,Consulting,admitted,notsponsored,0,75000
31,Male,True,3.04,STEM,NULL,610.0,4.0,Consulting,admitted,notsponsored,0,75000
32,Male,False,3.19,Humanities,White,580.0,5.0,PE/VC,notadmitted,notsponsored,0,0
33,Male,False,3.33,Humanities,Black,700.0,6.0,"Investment Banking",admitted,notsponsored,0,75000
34,Female,False,3.53,STEM,White,710.0,5.0,Consulting,admitted,notsponsored,0,75000
35,Male,False,3.50,Business,White,650.0,7.0,Consulting,admitted,notsponsored,0,75000
36,Male,True,3.22,Humanities,NULL,670.0,4.0,Other,admitted,notsponsored,0,75000
37,Male,False,3.50,STEM,Hispanic,720.0,5.0,"Health Care",admitted,notsponsored,0,75000
38,Female,False,3.16,STEM,Black,590.0,4.0,"Investment Management",notadmitted,notsponsored,0,0
39,Female,False,3.30,Humanities,Asian,740.0,6.0,"Investment Banking",admitted,notsponsored,0,75000
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,admitted,notsponsored,0,75000
41,Female,True,3.12,Business,NULL,610.0,4.0,PE/VC,admitted,notsponsored,0,75000
42,Female,True,3.41,Business,NULL,600.0,7.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
43,Male,False,3.38,Humanities,Asian,720.0,5.0,Consulting,admitted,notsponsored,0,75000
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,notadmitted,notsponsored,0,0
45,Male,False,3.27,STEM,Other,650.0,5.0,Consulting,admitted,notsponsored,0,75000
46,Male,False,3.32,STEM,Asian,730.0,4.0,"Health Care",admitted,notsponsored,0,75000
47,Male,True,3.13,Humanities,NULL,610.0,5.0,PE/VC,admitted,notsponsored,0,75000
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,admitted,notsponsored,0,75000
49,Male,False,3.23,STEM,Black,660.0,6.0,Other,admitted,notsponsored,0,75000
50,Male,False,3.38,STEM,Hispanic,680.0,5.0,Consulting,admitted,notsponsored,0,75000
51,Male,False,3.26,Business,White,670.0,6.0,Consulting,admitted,notsponsored,0,75000
52,Male,False,3.43,Business,Asian,650.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
53,Male,False,3.19,Business,White,650.0,5.0,"Financial Services",admitted,notsponsored,0,75000
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,admitted,notsponsored,0,75000
55,Male,False,2.96,STEM,Black,610.0,6.0,Consulting,admitted,notsponsored,0,75000
56,Female,False,3.44,STEM,Black,680.0,4.0,PE/VC,admitted,notsponsored,0,75000
57,Male,False,3.09,Business,Other,610.0,6.0,Consulting,admitted,notsponsored,0,75000
58,Female,True,3.05,Business,NULL,650.0,7.0,"Health Care",admitted,notsponsored,0,75000
59,Male,True,3.01,Humanities,NULL,660.0,6.0,Consulting,admitted,notsponsored,0,75000
60,Male,False,3.41,Humanities,White,740.0,4.0,"Financial Services",admitted,notsponsored,0,75000
61,Female,False,3.27,Business,White,670.0,5.0,Consulting,admitted,notsponsored,0,75000
62,Male,False,3.13,Humanities,Black,630.0,5.0,"Financial Services",admitted,notsponsored,0,75000
63,Female,True,3.00,STEM,NULL,640.0,3.0,"Financial Services",admitted,notsponsored,0,75000
64,Male,False,3.36,STEM,Black,650.0,5.0,Technology,admitted,notsponsored,0,75000
65,Female,False,3.39,Humanities,White,680.0,5.0,"Investment Banking",admitted,notsponsored,0,75000
66,Male,True,3.31,Business,NULL,670.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
67,Male,False,3.07,STEM,Other,570.0,6.0,Other,notadmitted,notsponsored,0,0
68,Male,False,3.53,STEM,White,690.0,5.0,Technology,admitted,notsponsored,0,75000
69,Male,False,3.49,Business,Black,620.0,4.0,Energy,admitted,notsponsored,0,75000
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,admitted,notsponsored,0,75000
71,Male,True,3.34,STEM,NULL,690.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
72,Female,False,3.33,Humanities,Hispanic,680.0,5.0,Consulting,admitted,notsponsored,0,75000
73,Female,True,3.34,STEM,NULL,680.0,5.0,PE/VC,admitted,notsponsored,0,75000
74,Female,True,2.89,Humanities,NULL,670.0,5.0,Consulting,admitted,notsponsored,0,75000
75,Female,True,3.35,Business,NULL,640.0,5.0,PE/VC,admitted,notsponsored,0,75000
76,Female,False,3.24,Humanities,Hispanic,590.0,4.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
77,Male,False,3.18,Humanities,Black,640.0,4.0,PE/VC,admitted,notsponsored,0,75000
78,Male,True,3.20,Humanities,NULL,640.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
79,Male,False,3.17,Business,Hispanic,640.0,4.0,Other,admitted,notsponsored,0,75000
80,Female,False,3.10,STEM,Asian,680.0,4.0,"Health Care",admitted,notsponsored,0,75000
81,Male,False,2.93,Humanities,Hispanic,620.0,4.0,Technology,admitted,notsponsored,0,75000
82,Male,True,3.20,STEM,NULL,730.0,4.0,PE/VC,admitted,notsponsored,0,75000
83,Male,False,3.52,STEM,Hispanic,610.0,6.0,Consulting,admitted,notsponsored,0,75000
84,Female,False,3.35,Humanities,White,710.0,6.0,Consulting,admitted,notsponsored,0,75000
85,Male,False,3.15,STEM,Hispanic,620.0,4.0,PE/VC,admitted,notsponsored,0,75000
86,Male,False,3.21,Business,Hispanic,640.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
87,Male,False,3.10,Business,Hispanic,670.0,7.0,"Financial Services",admitted,notsponsored,0,75000
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,admitted,notsponsored,0,75000
89,Male,False,3.15,Humanities,Asian,650.0,6.0,Consulting,admitted,notsponsored,0,75000
90,Male,False,3.09,Business,Other,610.0,6.0,Consulting,admitted,notsponsored,0,75000
91,Female,False,3.14,Humanities,Hispanic,660.0,6.0,Consulting,admitted,notsponsored,0,75000
92,Male,False,2.97,STEM,Asian,580.0,4.0,Consulting,notadmitted,notsponsored,0,0
93,Male,False,3.17,STEM,White,670.0,5.0,PE/VC,admitted,notsponsored,0,75000
94,Female,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,admitted,notsponsored,0,75000
95,Female,False,3.05,Humanities,White,600.0,5.0,Other,notadmitted,notsponsored,0,0
96,Male,False,3.32,Business,Black,670.0,4.0,Consulting,admitted,notsponsored,0,75000
97,Male,False,3.08,Humanities,Asian,640.0,5.0,Technology,admitted,notsponsored,0,75000
98,Male,True,3.36,STEM,NULL,690.0,5.0,CPG,admitted,notsponsored,0,75000
99,Male,False,3.10,Humanities,White,610.0,5.0,"Health Care",admitted,notsponsored,0,75000
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,admitted,notsponsored,0,75000
101,Male,False,3.26,Humanities,Hispanic,650.0,6.0,"Real Estate",admitted,notsponsored,0,75000
102,Male,False,3.20,Humanities,Hispanic,600.0,4.0,"Investment Banking",notadmitted,notsponsored,0,0
103,Male,False,3.65,Humanities,Black,700.0,6.0,"Health Care",admitted,notsponsored,0,75000
104,Female,True,3.34,Business,NULL,650.0,5.0,"Financial Services",admitted,notsponsored,0,75000
105,Female,False,3.30,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
106,Male,False,3.11,Business,Asian,610.0,6.0,PE/VC,admitted,notsponsored,0,75000
107,Male,True,3.08,Humanities,NULL,740.0,4.0,"Health Care",admitted,notsponsored,0,75000
108,Male,False,3.20,STEM,White,590.0,5.0,Consulting,notadmitted,notsponsored,0,0
109,Male,True,3.30,STEM,NULL,590.0,5.0,Other,notadmitted,notsponsored,0,0
110,Male,False,3.21,Humanities,Black,610.0,4.0,PE/VC,admitted,notsponsored,0,75000
111,Female,False,3.26,Humanities,Black,670.0,6.0,Consulting,admitted,notsponsored,0,75000
112,Female,False,3.29,STEM,Hispanic,640.0,6.0,"Investment Banking",admitted,notsponsored,0,75000
113,Female,False,3.25,Humanities,Hispanic,640.0,5.0,Other,admitted,notsponsored,0,75000
114,Female,False,3.20,Humanities,Asian,680.0,7.0,Consulting,admitted,notsponsored,0,75000
115,Female,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
116,Male,False,3.32,Humanities,Hispanic,670.0,4.0,Media/Entertainment,admitted,notsponsored,0,75000
117,Female,False,3.46,STEM,White,660.0,5.0,Consulting,admitted,notsponsored,0,75000
118,Female,False,3.29,Humanities,Black,610.0,4.0,Consulting,admitted,notsponsored,0,75000
119,Male,False,3.33,Humanities,White,680.0,4.0,"Financial Services",admitted,notsponsored,0,75000
120,Female,True,2.99,Humanities,NULL,570.0,6.0,"Real Estate",notadmitted,notsponsored,0,0
121,Male,False,3.22,Business,Black,610.0,5.0,Technology,admitted,notsponsored,0,75000
122,Female,True,3.29,Business,NULL,710.0,4.0,Consulting,admitted,notsponsored,0,75000
123,Male,True,3.26,Humanities,NULL,650.0,4.0,PE/VC,admitted,notsponsored,0,75000
124,Male,False,3.25,Humanities,Asian,620.0,6.0,Technology,admitted,notsponsored,0,75000
125,Male,True,3.32,STEM,NULL,630.0,6.0,Technology,admitted,notsponsored,0,75000
126,Male,False,3.44,Business,White,740.0,6.0,PE/VC,admitted,notsponsored,0,75000
127,Male,True,3.40,Humanities,NULL,730.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
128,Female,False,3.51,Humanities,Black,700.0,7.0,Nonprofit/Gov,admitted,notsponsored,0,75000
129,Female,False,3.43,Humanities,Black,710.0,7.0,Other,admitted,notsponsored,0,75000
130,Female,False,3.27,Business,White,660.0,6.0,Other,admitted,notsponsored,0,75000
131,Male,False,3.34,Humanities,White,700.0,4.0,Consulting,admitted,notsponsored,0,75000
132,Male,False,3.07,Humanities,Other,640.0,6.0,Other,admitted,notsponsored,0,75000
133,Male,True,3.36,Humanities,NULL,670.0,2.0,PE/VC,admitted,notsponsored,0,75000
134,Male,False,3.21,Humanities,White,690.0,7.0,"Real Estate",admitted,notsponsored,0,75000
135,Female,False,3.28,Humanities,White,610.0,6.0,Consulting,admitted,notsponsored,0,75000
136,Female,False,3.06,Business,Black,650.0,5.0,Consulting,admitted,notsponsored,0,75000
137,Male,False,3.32,Business,White,670.0,4.0,"Financial Services",admitted,notsponsored,0,75000
138,Male,True,3.33,Humanities,NULL,670.0,5.0,Consulting,admitted,notsponsored,0,75000
139,Female,False,3.31,STEM,Asian,600.0,5.0,"Investment Banking",notadmitted,notsponsored,0,0
140,Male,False,3.16,STEM,Hispanic,570.0,5.0,Technology,notadmitted,notsponsored,0,0
141,Male,False,3.20,STEM,Asian,600.0,6.0,Consulting,notadmitted,notsponsored,0,0
142,Male,True,3.17,STEM,NULL,600.0,4.0,"Investment Banking",notadmitted,notsponsored,0,0
143,Female,True,3.48,STEM,NULL,780.0,5.0,PE/VC,admitted,notsponsored,0,75000
144,Male,False,3.10,STEM,Asian,570.0,5.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
145,Male,False,2.95,Business,Asian,590.0,5.0,"Investment Management",notadmitted,notsponsored,0,0
146,Male,False,3.32,Humanities,White,570.0,6.0,Technology,notadmitted,notsponsored,0,0
147,Male,False,3.24,Humanities,Black,660.0,7.0,"Investment Management",admitted,notsponsored,0,75000
148,Female,False,3.21,STEM,Black,580.0,6.0,"Financial Services",notadmitted,notsponsored,0,0
149,Male,False,3.32,Humanities,Asian,660.0,4.0,"Investment Banking",admitted,notsponsored,0,75000
150,Male,False,3.20,Humanities,Hispanic,630.0,6.0,Technology,admitted,notsponsored,0,75000
151,Male,False,3.37,Business,Asian,710.0,5.0,Technology,admitted,notsponsored,0,75000
152,Male,False,3.14,Humanities,Asian,620.0,5.0,Technology,admitted,notsponsored,0,75000
153,Female,True,3.32,Humanities,NULL,650.0,5.0,"Real Estate",admitted,notsponsored,0,75000
154,Female,True,3.13,Business,NULL,580.0,4.0,Consulting,notadmitted,notsponsored,0,0
155,Female,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,admitted,notsponsored,0,75000
156,Male,False,3.22,STEM,White,620.0,5.0,PE/VC,admitted,notsponsored,0,75000
157,Male,True,3.42,STEM,NULL,630.0,6.0,"Financial Services",admitted,notsponsored,0,75000
158,Female,False,3.18,STEM,Asian,650.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
159,Male,True,3.14,STEM,NULL,620.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
160,Male,True,3.24,Humanities,NULL,680.0,7.0,PE/VC,admitted,notsponsored,0,75000
161,Male,False,3.30,Business,White,630.0,3.0,PE/VC,admitted,notsponsored,0,75000
162,Female,False,3.20,STEM,White,610.0,4.0,Consulting,admitted,notsponsored,0,75000
163,Male,False,3.41,Humanities,Black,710.0,4.0,PE/VC,admitted,notsponsored,0,75000
164,Male,True,3.03,STEM,NULL,570.0,5.0,Consulting,notadmitted,notsponsored,0,0
165,Male,False,3.30,Humanities,Asian,640.0,9.0,Consulting,admitted,notsponsored,0,75000
166,Female,False,3.17,STEM,White,600.0,4.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
167,Female,False,3.43,Business,White,680.0,3.0,Consulting,admitted,notsponsored,0,75000
168,Male,False,3.36,STEM,Black,700.0,5.0,PE/VC,admitted,notsponsored,0,75000
169,Female,True,3.15,STEM,NULL,650.0,5.0,"Investment Banking",admitted,notsponsored,0,75000
170,Female,False,3.23,Business,Black,680.0,6.0,"Health Care",admitted,notsponsored,0,75000
171,Female,False,3.36,Humanities,Asian,710.0,4.0,CPG,admitted,notsponsored,0,75000
172,Male,False,3.00,STEM,Asian,570.0,6.0,"Financial Services",notadmitted,notsponsored,0,0
173,Male,False,3.25,Humanities,Asian,640.0,7.0,PE/VC,admitted,notsponsored,0,75000
174,Male,False,3.15,Humanities,Hispanic,620.0,3.0,PE/VC,admitted,notsponsored,0,75000
175,Female,True,3.17,STEM,NULL,630.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
176,Male,False,2.97,STEM,Asian,610.0,6.0,Technology,admitted,notsponsored,0,75000
177,Female,False,3.25,Humanities,White,670.0,5.0,Consulting,admitted,notsponsored,0,75000
178,Male,False,3.33,Humanities,Other,640.0,3.0,Other,admitted,notsponsored,0,75000
179,Male,False,3.43,Business,Asian,680.0,3.0,Consulting,admitted,notsponsored,0,75000
180,Male,True,3.17,Humanities,NULL,670.0,4.0,Technology,admitted,notsponsored,0,75000
181,Male,True,3.40,Business,NULL,750.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
182,Male,False,3.24,STEM,Black,600.0,5.0,"Investment Management",notadmitted,notsponsored,0,0
183,Male,False,3.34,Humanities,White,700.0,5.0,Consulting,admitted,notsponsored,0,75000
184,Male,True,3.29,Humanities,NULL,660.0,6.0,Energy,admitted,notsponsored,0,75000
185,Male,True,3.04,Business,NULL,660.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
186,Male,True,3.40,Humanities,NULL,690.0,6.0,Other,admitted,notsponsored,0,75000
187,Male,True,3.01,Humanities,NULL,670.0,6.0,Technology,admitted,notsponsored,0,75000
188,Male,False,3.54,STEM,Hispanic,700.0,5.0,Other,admitted,notsponsored,0,75000
189,Male,False,3.23,STEM,White,710.0,6.0,PE/VC,admitted,notsponsored,0,75000
190,Male,True,3.15,Humanities,NULL,650.0,6.0,Consulting,admitted,notsponsored,0,75000
191,Female,False,3.32,Humanities,White,730.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
192,Male,False,3.47,Business,Asian,690.0,7.0,"Investment Management",admitted,notsponsored,0,75000
193,Female,False,3.29,Business,Black,590.0,3.0,"Real Estate",notadmitted,notsponsored,0,0
194,Male,False,3.20,STEM,Asian,690.0,5.0,Energy,admitted,notsponsored,0,75000
195,Female,True,3.48,Humanities,NULL,670.0,5.0,"Financial Services",admitted,notsponsored,0,75000
196,Female,False,3.14,Business,White,600.0,3.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
197,Male,True,3.45,Humanities,NULL,620.0,5.0,Consulting,admitted,notsponsored,0,75000
198,Male,False,3.31,STEM,Hispanic,620.0,3.0,PE/VC,admitted,notsponsored,0,75000
199,Female,False,3.60,Humanities,Other,670.0,5.0,Consulting,admitted,notsponsored,0,75000
200,Male,False,3.50,STEM,Hispanic,700.0,6.0,"Investment Management",admitted,notsponsored,0,75000
201,Male,False,3.61,Business,Hispanic,690.0,5.0,Technology,admitted,notsponsored,0,75000
202,Male,False,3.11,STEM,Black,650.0,5.0,"Financial Services",admitted,notsponsored,0,75000
203,Male,True,3.10,Humanities,NULL,580.0,6.0,Consulting,notadmitted,notsponsored,0,0
204,Male,True,3.06,STEM,NULL,620.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
205,Male,True,3.18,Business,NULL,630.0,3.0,Nonprofit/Gov,admitted,notsponsored,0,75000
206,Male,False,3.05,Humanities,White,570.0,8.0,Consulting,notadmitted,notsponsored,0,0
207,Male,False,3.45,Humanities,Other,700.0,6.0,Consulting,admitted,notsponsored,0,75000
208,Female,True,3.26,Business,NULL,630.0,6.0,Consulting,admitted,notsponsored,0,75000
209,Male,False,3.35,Business,White,660.0,5.0,Consulting,admitted,notsponsored,0,75000
210,Female,False,3.23,Business,White,670.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
211,Male,True,3.11,Business,NULL,640.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
212,Female,False,3.44,Business,White,750.0,5.0,Technology,admitted,notsponsored,0,75000
213,Female,False,3.14,Humanities,Black,580.0,5.0,Technology,notadmitted,notsponsored,0,0
214,Female,False,3.24,Business,White,660.0,6.0,Technology,admitted,notsponsored,0,75000
215,Male,True,3.43,Humanities,NULL,610.0,5.0,Technology,admitted,notsponsored,0,75000
216,Male,False,3.27,STEM,Asian,600.0,5.0,PE/VC,notadmitted,notsponsored,0,0
217,Male,False,3.41,Humanities,Asian,670.0,5.0,Consulting,admitted,notsponsored,0,75000
218,Female,False,3.02,Humanities,Asian,570.0,4.0,Consulting,notadmitted,notsponsored,0,0
219,Male,False,3.24,STEM,White,670.0,3.0,Consulting,admitted,notsponsored,0,75000
220,Male,False,3.23,STEM,Black,630.0,5.0,Technology,admitted,notsponsored,0,75000
221,Male,False,3.09,Humanities,Asian,690.0,5.0,Other,admitted,notsponsored,0,75000
222,Male,False,3.64,STEM,Black,680.0,4.0,PE/VC,admitted,notsponsored,0,75000
223,Male,False,3.71,STEM,White,720.0,6.0,Other,admitted,notsponsored,0,75000
224,Female,False,3.19,Business,Asian,630.0,5.0,"Investment Banking",admitted,notsponsored,0,75000
225,Female,False,3.24,STEM,Asian,670.0,4.0,Consulting,admitted,notsponsored,0,75000
226,Male,False,3.01,Humanities,Asian,610.0,4.0,PE/VC,admitted,notsponsored,0,75000
227,Male,False,3.40,Business,Asian,630.0,4.0,Consulting,admitted,notsponsored,0,75000
228,Female,False,3.18,Humanities,Black,650.0,5.0,Consulting,admitted,notsponsored,0,75000
229,Male,True,3.39,Humanities,NULL,650.0,6.0,Other,admitted,notsponsored,0,75000
230,Female,False,3.06,STEM,Hispanic,640.0,6.0,Nonprofit/Gov,admitted,notsponsored,0,75000
231,Male,True,3.01,Business,NULL,610.0,6.0,Technology,admitted,notsponsored,0,75000
232,Male,False,3.34,Business,Asian,590.0,5.0,PE/VC,notadmitted,notsponsored,0,0
233,Male,True,3.34,STEM,NULL,680.0,8.0,Technology,admitted,notsponsored,0,75000
234,Male,True,3.33,STEM,NULL,720.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
235,Male,False,3.40,STEM,Black,680.0,4.0,Other,admitted,notsponsored,0,75000
236,Male,False,3.02,STEM,Black,590.0,5.0,Consulting,notadmitted,notsponsored,0,0
237,Male,False,3.49,Humanities,White,720.0,3.0,Consulting,admitted,notsponsored,0,75000
238,Male,False,3.45,Humanities,White,710.0,4.0,PE/VC,admitted,notsponsored,0,75000
239,Male,False,3.33,Humanities,White,660.0,5.0,Media/Entertainment,admitted,notsponsored,0,75000
240,Female,False,3.27,Humanities,Black,680.0,5.0,"Health Care",admitted,notsponsored,0,75000
241,Female,False,3.15,Business,White,620.0,6.0,Technology,admitted,notsponsored,0,75000
242,Female,False,3.11,STEM,Asian,620.0,4.0,"Financial Services",admitted,notsponsored,0,75000
243,Male,True,3.15,Humanities,NULL,590.0,5.0,"Investment Management",notadmitted,notsponsored,0,0
244,Male,False,3.11,Business,Asian,600.0,7.0,PE/VC,notadmitted,notsponsored,0,0
245,Male,False,3.17,Business,Asian,640.0,6.0,Other,admitted,notsponsored,0,75000
246,Female,False,3.02,STEM,Asian,570.0,5.0,Other,notadmitted,notsponsored,0,0
247,Male,True,3.04,STEM,NULL,630.0,5.0,Other,admitted,notsponsored,0,75000
248,Male,False,3.22,STEM,White,650.0,5.0,PE/VC,admitted,notsponsored,0,75000
249,Male,True,3.77,STEM,NULL,780.0,5.0,Consulting,admitted,sponsored,50000,25000
250,Female,False,3.31,Business,Hispanic,590.0,5.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
251,Male,False,3.30,Humanities,Asian,660.0,4.0,"Investment Banking",admitted,notsponsored,0,75000
252,Male,False,3.26,Humanities,White,690.0,4.0,Nonprofit/Gov,admitted,notsponsored,0,75000
253,Male,False,3.10,Humanities,White,570.0,5.0,"Financial Services",notadmitted,notsponsored,0,0
254,Female,False,3.61,Humanities,Black,740.0,6.0,"Health Care",admitted,notsponsored,0,75000
255,Female,False,3.33,Business,Black,620.0,5.0,Consulting,admitted,notsponsored,0,75000
256,Male,True,3.28,Humanities,NULL,750.0,3.0,Nonprofit/Gov,admitted,notsponsored,0,75000
257,Female,False,3.47,STEM,Black,730.0,4.0,Technology,admitted,notsponsored,0,75000
258,Male,True,3.27,Humanities,NULL,640.0,4.0,"Investment Banking",admitted,notsponsored,0,75000
259,Male,False,3.33,STEM,Black,670.0,3.0,Technology,admitted,notsponsored,0,75000
260,Female,False,3.28,Humanities,Black,650.0,5.0,PE/VC,admitted,notsponsored,0,75000
261,Male,True,3.32,Humanities,NULL,750.0,4.0,Consulting,admitted,notsponsored,0,75000
262,Male,False,3.10,Business,Black,620.0,6.0,Consulting,admitted,notsponsored,0,75000
263,Male,False,3.21,Business,White,630.0,6.0,"Investment Management",admitted,notsponsored,0,75000
264,Male,False,3.12,Humanities,Hispanic,620.0,4.0,PE/VC,admitted,notsponsored,0,75000
265,Male,True,3.05,Humanities,NULL,600.0,5.0,Technology,notadmitted,notsponsored,0,0
266,Male,False,3.31,Humanities,White,620.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
267,Male,False,3.28,STEM,White,600.0,5.0,Consulting,notadmitted,notsponsored,0,0
268,Male,False,2.95,Humanities,Hispanic,600.0,5.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
269,Female,False,3.19,STEM,Hispanic,690.0,4.0,PE/VC,admitted,notsponsored,0,75000
270,Female,True,3.34,Humanities,NULL,670.0,5.0,Nonprofit/Gov,admitted,notsponsored,0,75000
271,Female,True,3.34,Business,NULL,620.0,4.0,Consulting,admitted,notsponsored,0,75000
272,Male,False,3.43,Humanities,Other,680.0,5.0,Other,admitted,notsponsored,0,75000
273,Female,False,3.23,Humanities,Other,670.0,6.0,"Investment Banking",admitted,notsponsored,0,75000
274,Male,False,3.31,STEM,Asian,650.0,4.0,"Investment Banking",admitted,notsponsored,0,75000
275,Male,True,3.30,STEM,NULL,650.0,5.0,Technology,admitted,notsponsored,0,75000
276,Female,False,3.05,Humanities,Asian,630.0,5.0,Consulting,admitted,notsponsored,0,75000
277,Male,False,3.52,Humanities,White,770.0,3.0,"Investment Banking",admitted,sponsored,50000,25000
278,Female,False,3.15,Business,Black,570.0,5.0,"Financial Services",notadmitted,notsponsored,0,0
279,Female,False,3.11,Business,Black,660.0,6.0,Technology,admitted,notsponsored,0,75000
280,Male,False,3.05,Business,Asian,610.0,5.0,PE/VC,admitted,notsponsored,0,75000
281,Male,True,3.04,Business,NULL,570.0,5.0,PE/VC,notadmitted,notsponsored,0,0
282,Male,False,3.30,Business,White,650.0,6.0,Technology,admitted,notsponsored,0,75000
283,Male,False,3.58,Business,White,740.0,4.0,"Investment Banking",admitted,notsponsored,0,75000
284,Female,False,2.97,Humanities,Asian,590.0,4.0,Nonprofit/Gov,notadmitted,notsponsored,0,0
285,Male,False,3.29,STEM,Black,630.0,5.0,PE/VC,admitted,notsponsored,0,75000
286,Female,False,3.49,Business,Asian,780.0,6.0,PE/VC,admitted,notsponsored,0,75000
287,Female,True,3.33,STEM,NULL,640.0,7.0,Consulting,admitted,notsponsored,0,75000
288,Male,False,3.14,Business,Hispanic,580.0,2.0,PE/VC,notadmitted,notsponsored,0,0
289,Male,False,3.42,STEM,Asian,750.0,3.0,Media/Entertainment,admitted,notsponsored,0,75000
